t,mean_Eon,cum_mean
0,0.054354178842782,0.054354178842782
1,0.05715955581531268,0.05739333722969024
2,0.05862068965517241,0.059205143191116305
3,0.05967270601987142,0.06084161309175921
4,0.060140268848626534,0.06183518410286382
5,0.06049094097019287,0.06312098188194039
6,0.061367621274108705,0.06464056107539451
7,0.06218585622443016,0.06610169491525424
8,0.06271186440677966,0.06727060198714202
9,0.06335476329631794,0.06861484511981297
10,0.06370543541788427,0.06966686148451198
11,0.06464056107539451,0.0712448860315605
12,0.06510812390414962,0.07235534774985389
13,0.06610169491525424,0.07381648158971361
14,0.0663354763296318,0.07492694330800702
15,0.06645236703682057,0.07603740502630041
16,0.06651081239041497,0.07708942139099942
17,0.06662770309760374,0.07837521917007598
18,0.06680303915838691,0.07925189947399182
19,0.06703682057276447,0.08036236119228521
20,0.06680303915838691,0.08118059614260666
21,0.0668614845119813,0.08194038573933372
22,0.06662770309760374,0.08293395675043834
23,0.06691992986557568,0.08392752776154296
24,0.0662770309760374,0.08427819988310929
25,0.06662770309760374,0.08521332554061951
26,0.06616014026884863,0.08556399766218585
27,0.0657510227936879,0.08620689655172414
28,0.06551724137931035,0.08673290473407363
29,0.06540035067212156,0.08714202220923437
30,0.0652250146113384,0.0874926943308007
31,0.06557568673290473,0.08796025715955581
32,0.06569257744009352,0.08836937463471654
33,0.06569257744009352,0.08883693746347165
34,0.0657510227936879,0.08936294564582116
35,0.06569257744009352,0.09000584453535944
36,0.06592635885447107,0.09064874342489772
37,0.06563413208649913,0.09094097019286966
38,0.06586791350087667,0.09158386908240795
39,0.06545879602571596,0.0918760958503799
40,0.06557568673290473,0.09251899473991818
41,0.06557568673290473,0.09310344827586207
42,0.06504967855055523,0.09327878433664524
43,0.06487434248977206,0.09368790181180596
44,0.06458211572180012,0.0939801285797779
45,0.06423144360023378,0.09450613676212741
46,0.064114552893045,0.09491525423728814
47,0.06382232612507306,0.09561659848042081
48,0.06323787258912916,0.09590882524839275
49,0.062419637638807715,0.09596727060198715
50,0.061776738749269436,0.09608416130917592
51,0.061542957334891873,0.09643483343074226
52,0.06113383985973115,0.09661016949152543
53,0.06107539450613676,0.09690239625949737
54,0.06107539450613676,0.09696084161309176
55,0.06113383985973115,0.09707773232028054
56,0.06084161309175921,0.0972530683810637
57,0.06049094097019287,0.09736995908825248
58,0.06043249561659848,0.09748684979544127
59,0.06008182349503215,0.09754529514903565
60,0.059964932787843366,0.09766218585622442
61,0.05955581531268264,0.09777907656341321
62,0.05908825248392753,0.09783752191700759
63,0.058562244301578026,0.09807130333138515
64,0.058270017533606076,0.09807130333138515
65,0.05791934541203974,0.09824663939216832
66,0.0576271186440678,0.0983635300993571
67,0.05727644652250146,0.09842197545295149
68,0.05710111046171829,0.09853886616014026
69,0.0565166569257744,0.09853886616014026
70,0.05575686732904734,0.09853886616014026
71,0.055347749853886616,0.09853886616014026
