parent,child,lag,pearson_r,n
A_low,B_hat,1,1.0,1214810
B_hat,C_hat,1,0.992806251724715,1214810
C_hat,D_hat,1,0.9916287445904538,1214810
A_low,C_hat,1,0.8113359456972543,1214810
A_low,D_hat,1,0.7786806916730825,1214810
B_hat,D_hat,1,0.8683026582503409,1214810
A_low,B_hat,2,0.7602119948928074,1197700
B_hat,C_hat,2,0.7519689874730091,1197700
C_hat,D_hat,2,0.8310195568276785,1197700
A_low,C_hat,2,0.9935687290176386,1197700
A_low,D_hat,2,0.8678430648429474,1197700
B_hat,D_hat,2,0.9711557123085244,1197700
A_low,B_hat,3,0.7187641745184422,1180590
B_hat,C_hat,3,0.717049561113572,1180590
C_hat,D_hat,3,0.7501729231288116,1180590
A_low,C_hat,3,0.7772310176560875,1180590
A_low,D_hat,3,0.9745896418091584,1180590
B_hat,D_hat,3,0.7661025172252584,1180590
A_low,B_hat,4,0.6989122788364063,1163480
B_hat,C_hat,4,0.7046893029656757,1163480
C_hat,D_hat,4,0.7380603802198119,1163480
A_low,C_hat,4,0.7366958853483637,1163480
A_low,D_hat,4,0.79013431314535,1163480
B_hat,D_hat,4,0.7343571395533586,1163480
A_low,B_hat,5,0.6849190017177462,1146370
B_hat,C_hat,5,0.6913691157614732,1146370
C_hat,D_hat,5,0.7293263774258475,1146370
A_low,C_hat,5,0.716290466152993,1146370
A_low,D_hat,5,0.7518512725326948,1146370
B_hat,D_hat,5,0.7204040642790138,1146370
A_low,B_hat,6,0.6735948342163762,1129260
B_hat,C_hat,6,0.6798260129060233,1129260
C_hat,D_hat,6,0.7177034977184247,1129260
A_low,C_hat,6,0.7015413980313094,1129260
A_low,D_hat,6,0.7314201702323219,1129260
B_hat,D_hat,6,0.7064329051136267,1129260
