lag,mean,lo,hi,n
-12,0.21616358325219084,0.20008925673482636,0.23191333982473222,3081
-11,0.20406905055487054,0.19126849568434032,0.21794081381011096,3244
-10,0.20290714921388311,0.18955799466033818,0.21700533966182142,3371
-9,0.19948921679909193,0.18757094211123723,0.21254256526674234,3524
-8,0.2013039934800326,0.1878361858190709,0.2154305895137191,3681
-7,0.20395421436004163,0.19224765868886576,0.21737122788761704,3844
-6,0.2028913260219342,0.19191176470588237,0.21648180458624128,4012
-5,0.20895878008101024,0.19560400285918514,0.22015725518227305,4197
-4,0.20401715188445047,0.1922816519972918,0.2158711351839314,4431
-3,0.19588071229349924,0.18482621754988202,0.20738575413001498,4661
-2,0.18763976417971132,0.17634173612522872,0.19913092091888596,4919
-1,0.18583086053412462,0.17516227744807122,0.19695845697329376,5392
0,0.2,0.19364830353885443,0.2071506749361547,13705
1,0.21205487448920024,0.20552211033274956,0.21866061004086398,13704
2,0.20105086477413706,0.19462526454061155,0.20758410567029117,13703
3,0.20207329537158708,0.19550299313768432,0.208866257847861,13698
4,0.1981008035062089,0.19254565376187,0.20423666910153396,13690
5,0.20014614541468762,0.19243514797223238,0.20635732553891123,13685
6,0.2021953896816685,0.19593304061470912,0.20816136114160264,13665
7,0.2016406650552992,0.1944627554383652,0.20889914304548451,13653
8,0.20090922422642615,0.19409004252822995,0.2078402258395659,13638
9,0.19741480611045828,0.19083982079905992,0.2041017920094007,13616
10,0.19638261892507905,0.18972685831924124,0.20358797147268584,13601
11,0.19372883851023112,0.18669402325923745,0.20127520977476815,13586
12,0.18538994545186496,0.17889945451864955,0.19187675070028012,13566
13,0.1841541755888651,0.17769142730561915,0.19072952816953406,13543
14,0.17563571850975754,0.1696093287995269,0.18169722057953874,13528
15,0.16845612736023696,0.16249352091817845,0.17415771936319882,13505
16,0.16274757065499593,0.15659075736221348,0.16898598026852607,13481
17,0.15659606094388703,0.15046265328874026,0.16247120029728726,13455
18,0.15004840271055178,0.14375418869610546,0.1561936853079157,13429
19,0.14379572943108854,0.138192474242198,0.14966216216216216,13394
20,0.14015123156397394,0.13416186269371866,0.14550610166953656,13357
21,0.13697807149294083,0.13119179933914088,0.14291453890057074,13316
22,0.13550522910240012,0.1291456624783688,0.14152810172297042,13291
23,0.12976235382874388,0.12383817427385892,0.1352338740098076,13255
24,0.1284049636803874,0.12227602905569007,0.13370157384987894,13216
